Player,Rk,Age,Tm,Pos,GP,G,A,PTS,+/-,PIM,PS,EV,PP,SH,GW,EV.1,PP.1,SH.1,S,S%,TOI,ATOI,BLK,HIT,FOW,FOL,FO%,Q,pop,prob_pts,team_full
Brent Burns,106,33,SJS,D,82,16,67,83,13,34,12.0,8,7,1,6,42,21,4,300,5.3,2058,25:06:00,105,90,0,1,0.0,1.0121951219512195,0.9761904761904762,0.988095238095238,San Jose Sharks
Mark Giordano,294,35,CGY,D,78,17,57,74,39,69,12.6,10,3,4,2,37,18,2,221,7.7,1891,24:14:00,144,58,0,0,,0.9487179487179487,0.9285714285714286,0.8809523809523809,Calgary Flames
Morgan Rielly,702,24,TOR,D,82,20,52,72,24,14,11.7,17,3,0,5,34,18,0,223,9.0,1896,23:07,114,61,0,1,0.0,0.8780487804878049,0.9761904761904762,0.8571428571428571,Toronto Maple Leafs
John Carlson,117,29,WSH,D,80,13,57,70,21,34,10.5,10,3,0,1,27,30,0,185,7.0,2005,25:04:00,164,54,0,0,,0.875,0.9523809523809523,0.8333333333333333,Washington Capitals
Tyson Barrie,37,27,COL,D,78,14,45,59,-3,36,8.4,12,2,0,2,22,23,0,218,6.4,1699,21:47,93,48,0,0,,0.7564102564102564,0.9285714285714286,0.7023809523809524,Colorado Avalanche
Roman Josi,411,28,NSH,D,82,15,41,56,9,42,9.9,13,2,0,4,30,10,1,274,5.5,2064,25:10:00,144,53,0,1,0.0,0.6829268292682927,0.9761904761904762,0.6666666666666667,Nashville Predators
Kris Letang,494,31,PIT,D,65,16,40,56,13,48,9.0,13,2,1,3,22,17,1,206,7.8,1687,25:58:00,111,116,0,0,,0.8615384615384616,0.7738095238095238,0.6666666666666667,Pittsburgh Penguins
Victor Hedman,352,28,TBL,D,70,12,42,54,24,44,8.9,10,2,0,4,18,23,1,182,6.6,1594,22:46,97,59,0,1,0.0,0.7714285714285715,0.8333333333333334,0.6428571428571429,Tampa Bay Lightning
Torey Krug,454,27,BOS,D,64,6,47,53,-2,33,7.1,4,2,0,2,19,28,0,151,4.0,1363,21:18,60,53,0,0,,0.828125,0.7619047619047619,0.6309523809523809,Boston Bruins
Jacob Trouba,848,24,WPG,D,82,8,42,50,8,58,7.5,4,3,1,1,25,15,2,162,4.9,1876,22:53,171,112,0,0,,0.6097560975609756,0.9761904761904762,0.5952380952380952,Winnipeg Jets
Ryan McDonagh,555,29,TBL,D,82,9,37,46,38,34,8.9,9,0,0,1,31,3,3,128,7.0,1811,22:05,161,98,0,0,,0.5609756097560976,0.9761904761904762,0.5476190476190477,Tampa Bay Lightning
Seth Jones,409,24,CBJ,D,75,9,37,46,1,28,7.5,9,0,0,4,24,10,3,184,4.9,1937,25:49:00,133,106,0,0,,0.6133333333333333,0.8928571428571429,0.5476190476190476,Columbus Blue Jackets
John Klingberg,440,26,DAL,D,64,10,35,45,6,12,8.5,5,5,0,5,20,15,0,153,6.5,1570,24:32:00,77,42,0,0,,0.703125,0.7619047619047619,0.5357142857142857,Dallas Stars
Erik Karlsson,422,28,SJS,D,53,3,42,45,6,22,6.0,1,2,0,1,24,18,0,169,1.8,1298,24:29:00,69,44,1,1,50.0,0.8490566037735849,0.6309523809523809,0.5357142857142857,San Jose Sharks
Mattias Ekholm,228,28,NSH,D,80,8,36,44,27,47,9.2,6,2,0,3,29,5,2,146,5.5,1869,23:22,107,68,0,0,,0.55,0.9523809523809523,0.5238095238095238,Nashville Predators
Zach Werenski,881,21,CBJ,D,82,11,33,44,-12,18,6.5,9,2,0,1,20,13,0,168,6.5,1878,22:54,89,67,0,0,,0.5365853658536586,0.9761904761904762,0.5238095238095238,Columbus Blue Jackets
Alex Pietrangelo,662,29,STL,D,71,13,28,41,2,22,7.3,10,3,0,2,15,12,1,168,7.7,1709,24:05:00,139,62,0,1,0.0,0.5774647887323944,0.8452380952380952,0.4880952380952381,St. Louis Blues
Ryan Ellis,233,28,NSH,D,82,7,34,41,21,20,8.4,5,1,1,2,30,4,0,149,4.7,1969,24:01:00,154,71,0,0,,0.5,0.9761904761904762,0.4880952380952381,Nashville Predators
Dougie Hamilton,337,25,CAR,D,82,18,21,39,0,54,7.6,16,2,0,2,16,5,0,259,6.9,1613,19:40,91,160,0,1,0.0,0.47560975609756095,0.9761904761904762,0.46428571428571425,Carolina Hurricanes
Ryan Pulock,679,24,NYI,D,82,9,28,37,21,22,8.3,6,3,0,3,22,6,0,180,5.0,1834,22:22,148,143,0,0,,0.45121951219512196,0.9761904761904762,0.44047619047619047,New York Islanders
Shea Theodore,832,23,VEG,D,79,12,25,37,-4,20,6.2,8,4,0,1,19,5,1,202,5.9,1588,20:06,91,27,1,0,100.0,0.46835443037974683,0.9404761904761905,0.44047619047619047,Vegas Golden Knights
Vince Dunn,216,22,STL,D,78,12,23,35,14,45,7.2,9,3,0,4,18,5,0,150,8.0,1368,17:32,68,48,0,1,0.0,0.44871794871794873,0.9285714285714286,0.4166666666666667,St. Louis Blues
Justin Faulk,247,26,CAR,D,82,11,24,35,9,47,7.4,5,6,0,3,20,4,0,217,5.1,1839,22:25,121,156,0,0,,0.4268292682926829,0.9761904761904762,0.41666666666666663,Carolina Hurricanes
T.J. Brodie,92,28,CGY,D,79,9,25,34,29,24,7.0,7,1,1,1,22,3,0,102,8.8,1696,21:28,86,21,0,1,0.0,0.43037974683544306,0.9404761904761905,0.40476190476190477,Calgary Flames
Miro Heiskanen,355,19,DAL,D,82,12,21,33,-14,16,6.5,10,2,0,4,14,6,1,182,6.6,1895,23:07,71,34,0,0,,0.4024390243902439,0.9761904761904762,0.39285714285714285,Dallas Stars
Noah Hanifin,339,22,CGY,D,80,5,28,33,18,12,5.7,3,1,1,2,23,4,1,116,4.3,1662,20:46,83,87,0,0,,0.4125,0.9523809523809523,0.3928571428571428,Calgary Flames
Mikhail Sergachev,758,20,TBL,D,75,6,26,32,12,28,5.1,6,0,0,0,20,6,0,128,4.7,1344,17:55,93,97,1,1,50.0,0.4266666666666667,0.8928571428571429,0.380952380952381,Tampa Bay Lightning
Esa Lindell,501,24,DAL,D,82,11,21,32,14,33,8.6,5,4,2,1,18,3,0,132,8.3,1995,24:20:00,161,143,0,0,,0.3902439024390244,0.9761904761904762,0.38095238095238093,Dallas Stars
Dustin Byfuglien,109,33,WPG,D,42,4,27,31,4,69,4.4,3,1,0,1,12,15,0,115,3.5,1023,24:22:00,51,77,0,0,,0.7380952380952381,0.5,0.36904761904761907,Winnipeg Jets
Josh Morrissey,582,23,WPG,D,59,6,25,31,9,14,5.2,2,3,1,2,17,7,1,95,6.3,1322,22:24,107,55,0,0,,0.5254237288135594,0.7023809523809523,0.36904761904761907,Winnipeg Jets
Tyler Myers,591,28,WPG,D,80,9,22,31,11,63,5.8,8,0,1,3,14,7,1,156,5.8,1628,20:21,99,97,0,0,,0.3875,0.9523809523809523,0.369047619047619,Winnipeg Jets
P.K. Subban,813,29,NSH,D,63,9,22,31,5,60,5.8,6,2,1,1,14,8,0,168,5.4,1428,22:40,75,56,0,0,,0.49206349206349204,0.75,0.369047619047619,Nashville Predators
Jaccob Slavin,776,24,CAR,D,82,8,23,31,0,18,6.0,2,5,1,1,20,2,1,146,5.5,1889,23:02,133,70,0,1,0.0,0.3780487804878049,0.9761904761904762,0.369047619047619,Carolina Hurricanes
Jake Gardiner,278,28,TOR,D,62,3,27,30,19,26,5.2,3,0,0,0,22,5,0,78,3.8,1315,21:13,64,61,0,1,0.0,0.4838709677419355,0.7380952380952381,0.35714285714285715,Toronto Maple Leafs
Nate Schmidt,747,27,VEG,D,61,9,21,30,22,8,6.9,8,1,0,1,14,7,0,112,8.0,1339,21:57,100,37,0,0,,0.4918032786885246,0.7261904761904762,0.35714285714285715,Vegas Golden Knights
Colin Miller,573,26,VEG,D,65,3,26,29,0,44,4.5,2,1,0,0,14,12,0,131,2.3,1277,19:39,64,122,0,0,,0.4461538461538462,0.7738095238095238,0.3452380952380953,Vegas Golden Knights
Dmitry Orlov,625,27,WSH,D,82,3,26,29,3,33,4.0,3,0,0,0,25,1,0,101,3.0,1774,21:38,103,137,0,0,,0.35365853658536583,0.9761904761904762,0.34523809523809523,Washington Capitals
Ryan Murray,588,25,CBJ,D,56,1,28,29,20,10,5.7,1,0,0,0,27,1,0,71,1.4,1201,21:26,93,27,0,0,,0.5178571428571429,0.6666666666666666,0.34523809523809523,Columbus Blue Jackets
Brett Pesce,654,24,CAR,D,73,7,22,29,35,24,7.9,7,0,0,2,20,0,2,98,7.1,1496,20:29,131,53,1,0,100.0,0.3972602739726027,0.8690476190476191,0.34523809523809523,Carolina Hurricanes
Colton Parayko,639,25,STL,D,80,10,18,28,20,15,7.2,6,4,0,3,13,4,1,176,5.7,1823,22:47,157,127,0,0,,0.35,0.9523809523809523,0.3333333333333333,St. Louis Blues
Charlie McAvoy,549,21,BOS,D,54,7,21,28,14,45,5.7,6,1,0,3,19,1,1,79,8.9,1197,22:10,91,92,0,0,,0.5185185185185185,0.6428571428571429,0.3333333333333333,Boston Bruins
Samuel Girard,295,20,COL,D,82,4,23,27,8,6,4.9,4,0,0,0,14,9,0,116,3.4,1631,19:54,90,65,1,0,100.0,0.32926829268292684,0.9761904761904762,0.32142857142857145,Colorado Avalanche
Nick Leddy,487,27,NYI,D,82,4,22,26,0,18,5.0,4,0,0,0,12,10,0,116,3.4,1767,21:33,89,77,0,0,,0.3170731707317073,0.9761904761904762,0.30952380952380953,New York Islanders
Marc-Edouard Vlasic,864,31,SJS,D,72,3,22,25,-6,10,3.2,3,0,0,0,21,1,0,100,3.0,1515,21:03,114,23,0,0,,0.3472222222222222,0.8571428571428571,0.2976190476190476,San Jose Sharks
Erik Johnson,400,30,COL,D,80,7,18,25,8,38,5.1,7,0,0,1,18,0,0,144,4.9,1745,21:49,143,124,0,0,,0.3125,0.9523809523809523,0.2976190476190476,Colorado Avalanche
Michal Kempny,432,28,WSH,D,71,6,19,25,24,60,5.3,6,0,0,3,19,0,0,111,5.4,1362,19:11,135,84,0,0,,0.352112676056338,0.8452380952380952,0.2976190476190476,Washington Capitals
Matt Niskanen,606,32,WSH,D,80,8,17,25,-3,41,3.6,7,1,0,1,15,1,1,143,5.6,1755,21:56,137,167,0,0,,0.3125,0.9523809523809523,0.2976190476190476,Washington Capitals
David Savard,734,28,CBJ,D,82,8,16,24,19,36,6.2,8,0,0,1,16,0,0,124,6.5,1619,19:45,123,122,0,0,,0.2926829268292683,0.9761904761904762,0.2857142857142857,Columbus Blue Jackets
Brian Dumoulin,215,27,PIT,D,76,3,20,23,31,20,5.7,3,0,0,0,16,0,4,99,3.0,1598,21:02,129,141,0,0,,0.3026315789473684,0.9047619047619048,0.27380952380952384,Pittsburgh Penguins
Ron Hainsey,332,37,TOR,D,81,5,18,23,30,21,5.6,4,0,1,0,18,0,0,81,6.2,1641,20:15,144,91,1,0,100.0,0.2839506172839506,0.9642857142857143,0.2738095238095238,Toronto Maple Leafs
Braydon Coburn,148,33,TBL,D,74,4,19,23,4,34,3.4,4,0,0,0,19,0,0,113,3.5,1192,16:07,62,96,0,0,,0.3108108108108108,0.8809523809523809,0.2738095238095238,Tampa Bay Lightning
Brenden Dillon,196,28,SJS,D,82,1,21,22,19,61,4.6,0,0,1,0,21,0,0,71,1.4,1455,17:45,78,201,0,0,,0.2682926829268293,0.9761904761904762,0.2619047619047619,San Jose Sharks
Adam Pelech,648,24,NYI,D,78,5,16,21,22,24,5.9,5,0,0,0,16,0,0,110,4.5,1453,18:38,116,149,0,0,,0.2692307692307692,0.9285714285714286,0.25,New York Islanders
Markus Nutivaara,614,24,CBJ,D,80,5,16,21,3,6,4.2,5,0,0,1,16,0,0,99,5.1,1414,17:41,61,80,0,0,,0.2625,0.9523809523809523,0.25,Columbus Blue Jackets
Ben Chiarot,135,27,WPG,D,78,5,15,20,6,62,3.8,5,0,0,1,14,0,1,111,4.5,1452,18:37,139,171,0,0,,0.2564102564102564,0.9285714285714286,0.23809523809523808,Winnipeg Jets
Rasmus Andersson,15,22,CGY,D,79,2,17,19,17,23,3.8,2,0,0,0,15,2,0,115,1.7,1267,16:02,83,52,0,0,,0.24050632911392406,0.9404761904761905,0.2261904761904762,Calgary Flames
Scott Mayfield,548,26,NYI,D,79,4,15,19,18,68,5.3,3,0,1,0,15,0,0,104,3.8,1480,18:44,159,118,0,1,0.0,0.24050632911392406,0.9404761904761905,0.2261904761904762,New York Islanders
Travis Hamonic,338,28,CGY,D,69,7,12,19,21,33,4.7,6,0,1,1,10,0,2,128,5.5,1440,20:52,167,44,0,1,0.0,0.2753623188405797,0.8214285714285714,0.2261904761904762,Calgary Flames
Johnny Boychuk,81,35,NYI,D,74,3,16,19,10,25,4.5,2,1,0,1,13,2,1,157,1.9,1393,18:50,120,144,0,0,,0.25675675675675674,0.8809523809523809,0.22619047619047616,New York Islanders
Devon Toews,841,24,NYI,D,48,5,13,18,7,4,3.8,4,1,0,2,10,3,0,81,6.2,859,17:54,30,24,0,1,0.0,0.375,0.5714285714285714,0.21428571428571427,New York Islanders
Matt Grzelcyk,322,25,BOS,D,66,3,15,18,9,68,4.0,2,1,0,0,10,5,0,90,3.3,1263,19:08,60,46,0,0,,0.2727272727272727,0.7857142857142857,0.21428571428571427,Boston Bruins
Jay Bouwmeester,79,35,STL,D,78,3,14,17,-3,40,3.5,3,0,0,1,14,0,0,82,3.7,1617,20:44,127,61,0,0,,0.21794871794871795,0.9285714285714286,0.20238095238095238,St. Louis Blues
Scott Harrington,344,25,CBJ,D,73,2,15,17,6,23,3.3,2,0,0,0,15,0,0,54,3.7,952,13:03,81,73,0,0,,0.2328767123287671,0.8690476190476191,0.20238095238095238,Columbus Blue Jackets
Anton Stralman,808,32,TBL,D,47,2,15,17,12,8,3.1,2,0,0,0,14,1,0,57,3.5,965,20:31,71,59,0,0,,0.3617021276595745,0.5595238095238095,0.20238095238095238,Tampa Bay Lightning
Travis Dermott,192,22,TOR,D,64,4,13,17,-5,22,2.1,4,0,0,0,13,0,0,98,4.1,1108,17:18,57,100,0,0,,0.265625,0.7619047619047619,0.20238095238095238,Toronto Maple Leafs
Dan Girardi,296,34,TBL,D,62,4,12,16,6,12,2.8,4,0,0,0,11,0,1,75,5.3,1104,17:48,108,151,0,0,,0.25806451612903225,0.7380952380952381,0.1904761904761905,Tampa Bay Lightning
Justin Braun,88,31,SJS,D,78,2,14,16,-14,35,1.6,2,0,0,0,13,1,0,105,1.9,1584,20:18,120,121,0,0,,0.20512820512820512,0.9285714285714286,0.19047619047619047,San Jose Sharks
Brayden McNabb,562,28,VEG,D,81,4,12,16,11,52,4.3,4,0,0,1,11,0,1,84,4.8,1578,19:29,139,200,0,0,,0.19753086419753085,0.9642857142857143,0.19047619047619047,Vegas Golden Knights
Erik Cernak,129,21,TBL,D,58,5,11,16,25,58,4.3,4,1,0,1,11,0,0,107,4.7,1117,19:15,79,198,0,0,,0.27586206896551724,0.6904761904761905,0.19047619047619047,Tampa Bay Lightning
Jonathon Merrill,568,26,VEG,D,57,3,12,15,16,53,4.0,2,0,1,0,12,0,0,72,4.2,1019,17:53,72,71,0,0,,0.2631578947368421,0.6785714285714286,0.17857142857142858,Vegas Golden Knights
